letter pair,count
'h,2
ho,2307
oo,1310
od,1219
.2,1
22,3
1-,4
-d,123
do,1263
de,2830
ec,1586
ca,2845
an,6566
no,1868
ol,2630
-h,114
hi,2141
it,3549
tt,905
te,5058
er,9710
10,8
00,36
11,4
-p,112
pl,964
lu,1079
us,2738
12,3
20,6
13,2
14,2
44,1
15,2
53,1
30,5
0s,23
16,1
17,7
72,1
28,4
75,1
50,5
76,1
60,4
77,1
70,4
78,2
80,4
79,1
90,5
18,9
82,2
83,1
84,1
40,4
85,1
86,1
87,1
88,1
89,1
19,10
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
2-,1
0/,1
/2,1
21,1
23,1
24,2
4/,1
/7,1
25,2
26,1
27,1
29,1
3-,2
3d,1
3t,1
tc,322
4-,1
01,1
-k,28
4t,1
to,3043
4w,1
wd,47
5-,2
hy,1084
yd,203
dr,761
ro,4192
ox,334
xy,108
yt,360
tr,2543
ry,1218
yp,461
pt,655
ta,3026
am,1952
mi,2120
in,7968
ne,5282
8v,1
vo,334
9-,1
-1,9
9/,1
/1,1
a',16
'm,1
ma,3409
a-,91
-b,178
bo,1269
om,2221
mb,680
or,4197
ri,4622
iz,525
zo,263
on,6912
-l,108
li,4441
is,5076
st,4614
-t,181
ea,2555
a.,4
.e,5
e.,6
aa,72
ac,2952
ch,3153
he,2656
en,5301
al,4371
lb,162
rg,521
ii,152
ls,221
lt,456
ar,5011
rd,973
dv,58
va,764
rk,399
dw,95
wo,681
lf,294
re,4316
rh,297
hu,576
rp,444
as,2511
av,592
ve,1646
ab,1194
ba,1579
cu,979
ad,1576
da,1996
lo,2821
mp,879
pe,2275
nd,2090
nm,91
me,2726
nt,3480
rt,1326
ti,6054
ic,2856
ul,1529
la,3786
at,5290
io,3790
se,2515
em,1556
sh,1798
hm,168
si,2755
ia,3198
oi,625
ir,1198
ay,560
ya,405
bb,235
cy,678
be,1300
es,5028
ss,3498
ey,386
ot,1814
br,969
ev,445
vi,1053
bc,24
c',2
's,58
co,3237
ou,1733
cs,202
bd,44
di,2410
na,2306
oc,1613
ce,2681
op,2199
ty,1406
sn,524
du,477
uc,654
ns,1064
ct,1331
ed,1209
iu,597
el,2727
le,4360
lm,223
mo,1679
os,2086
sc,1315
sk,361
ak,592
ki,748
ee,1207
rr,759
ra,4865
nc,1695
et,2529
ip,998
po,1772
pr,1399
ei,606
tm,130
bf,12
fa,566
bh,26
nr,76
bi,1360
id,2551
dj,33
ja,307
ie,1075
il,2506
og,1297
ge,1729
ni,2738
ph,2090
bj,26
je,149
ju,210
ur,2178
bk,12
kh,130
ha,2556
az,283
zi,232
bl,934
iv,746
au,845
ut,1171
e-,443
sm,1191
ep,1150
bm,28
bn,28
eg,600
ga,1228
rm,869
lc,179
cc,322
cl,772
oh,129
su,986
um,1538
ig,1078
gi,992
ci,1426
if,540
tu,1097
t-,183
-f,127
ov,555
ah,368
dg,177
gm,104
ru,1097
up,539
tn,151
uz,50
zz,83
bs,182
sa,1822
dm,92
dn,253
th,2551
so,1232
lv,175
rb,444
ai,1172
bu,845
ud,442
ef,449
fd,7
uf,159
uj,37
uk,104
un,1535
bv,15
bw,20
wa,862
by,154
yl,484
ys,479
my,548
ly,707
ae,1800
eu,563
yb,109
yg,123
ap,1442
pn,58
pu,563
ob,704
yo,263
ex,564
xi,313
ng,3287
ua,608
ib,565
pi,1505
fo,695
im,1131
za,450
mm,460
pa,1840
ny,360
yi,116
ts,316
cr,1120
ue,496
mu,670
eb,488
rv,206
vu,81
ld,451
eh,186
nu,584
tp,43
ll,2319
hl,215
oe,374
aw,367
wi,495
hr,577
yc,469
fi,1023
yx,67
ck,1333
k-,79
-a,162
ke,1125
kn,149
ow,814
wl,90
cm,14
cn,34
sp,1154
ok,328
ka,500
ag,1345
gu,605
rn,643
cq,19
qu,752
ui,529
oa,618
ik,206
kr,78
ym,366
-s,212
yr,342
fe,699
py,259
oz,130
ew,380
we,665
lg,141
gl,551
d-,176
m-,33
-e,75
ms,119
dd,256
-i,104
-o,115
ax,222
dl,271
gr,1086
rc,726
eq,106
dh,101
hd,29
ks,172
jo,167
uv,76
ix,143
xt,115
xa,131
xo,115
dp,42
ps,519
ds,238
eo,565
rs,822
ze,331
ws,85
dy,298
yn,329
dz,12
zh,18
go,872
gy,398
of,329
af,385
ff,486
np,78
fl,628
fr,423
gh,540
ht,424
fu,445
fg,4
sr,37
l-,102
-c,130
xe,128
fp,10
n-,163
rl,308
o-,148
-w,120
fs,20
pc,25
ft,217
r-,162
ug,391
rw,127
mn,149
gd,27
gg,285
gk,6
ao,75
gn,354
pp,473
hp,31
hv,11
-m,123
ml,35
sl,317
wm,28
rf,198
hb,78
x-,28
aj,70
kk,38
ko,212
km,48
ku,121
kv,6
kw,72
'a,8
aq,60
-j,22
ji,108
ih,43
'u,1
uh,29
-q,17
qa,24
'i,7
r',17
wh,239
-u,80
uq,8
rq,27
h-,63
-n,56
-z,2
nk,351
nq,46
lh,53
iq,78
uo,123
iy,25
lk,187
tz,96
ky,116
nz,74
-r,92
ye,293
wn,184
yw,55
wt,28
oy,174
s-,112
-g,79
sg,35
ln,194
fn,11
lp,191
mr,30
lz,16
hn,191
rj,21
md,23
mh,16
sf,59
xu,38
sb,118
sd,37
yz,25
vy,28
cd,20
gs,119
gw,38
nh,121
nj,72
kl,177
nl,68
nn,624
lr,38
nw,80
wf,26
sw,232
tb,88
i-,42
nf,256
nv,147
ez,105
sy,383
tl,331
tw,174
ub,490
nx,22
zy,54
oj,28
ej,36
b-,21
sq,120
c-,15
hw,79
dt,52
y-,129
wy,35
gt,44
mc,36
mf,35
mg,6
wr,102
ww,16
rx,6
tf,92
hc,25
hk,25
sv,31
-v,12
hs,48
ux,58
wk,31
lw,65
xl,7
xs,5
yu,51
ij,43
jd,7
zt,8
zu,30
-5,1
52,1
b.,5
.o,2
o.,5
.t,3
t.,4
.u,4
u.,7
h.,3
s',8
'-,23
yh,36
kb,65
kc,24
kd,17
kf,38
kg,16
kp,31
kt,44
ek,127
gf,31
gp,16
iw,26
db,111
g-,68
mw,26
nb,124
oq,41
w-,38
hf,33
hh,17
wb,66
yk,13
dc,54
df,61
fb,15
fc,13
fw,5
yf,29
wu,23
rz,27
mt,19
u-,20
js,6
kj,5
xp,97
zk,4
zs,10
wg,9
wj,2
wp,23
-8,1
o',18
'n,4
bt,32
tv,12
dk,10
gb,51
zm,9
bp,12
tj,8
uy,31
vr,21
xb,7
xc,52
xf,5
xw,4
pm,39
l',4
pk,17
hg,12
-y,11
zw,6
vd,6
d',8
sz,13
zc,5
cz,13
c.,4
.p,6
p.,9
c2,1
2h,1
h6,1
bg,7
f.,3
lq,5
lx,6
pb,27
pf,29
pg,5
uu,14
t',11
tg,31
tk,10
cb,7
d4,1
d8,1
cf,6
cg,9
h',3
f-,181
gj,4
p-,55
pj,8
'o,3
gq,1
qi,12
wc,16
zp,5
mv,11
vv,6
cj,1
pd,15
fh,6
pz,2
o2,1
td,20
xn,4
s/,3
/m,1
-2,6
cp,13
sj,8
mq,2
cv,2
cw,4
/s,1
d.,10
.a,3
.c,3
.r,1
r.,5
.k,3
k.,4
'w,2
mk,5
vp,3
zl,27
n',13
u',11
'l,3
jj,4
'd,3
mz,1
vs,14
gc,13
jc,1
't,2
vn,8
fy,13
.s,4
s.,8
hq,3
jk,1
fm,8
xh,18
xm,5
xq,1
zr,2
.i,1
i.,5
zg,2
fj,1
'c,3
xg,1
yj,2
g',1
qr,1
hz,7
pw,23
zn,8
yy,7
gz,3
h2,1
2o,1
'p,3
p',1
e',4
'e,6
i',3
k',4
dq,3
zb,18
hj,4
'y,1
yv,6
s1,1
s2,1
v-,10
.d,5
.q,1
q.,1
.w,2
w.,4
jt,2
31,1
yq,2
pv,5
mj,2
w',2
jf,1
fk,3
jh,2
vh,3
jn,2
jr,3
jv,1
jy,3
k2,1
uw,11
lj,5
m/,1
/h,1
xv,11
y',4
b',2
gv,2
o/,1
/o,1
xx,19
m.,3
.m,2
m1,1
m2,1
m3,1
pq,1
z-,4
xz,1
zd,5
kx,1
zv,2
zj,1
mx,1
n.,1
.b,2
jm,1
q-,1
vg,1
'b,2
'f,1
'k,1
-3,1
-6,1
z.,1
vl,8
j',1
vc,3
px,1
qc,1
qe,2
qo,1
.v,2
v.,3
jp,2
m',1
'r,1
/n,2
qq,2
-',1
l/,1
j-,1
.-,1
'z,1
p/,1
/i,1
tx,1
u3,1
08,1
t1,1
x.,1
zq,1
vf,1
vt,2
wv,1
y2,1
2k,1
